source,sourceLabel,audience,tier,sheetGroup,name,id,rarity,faction,shipType,roleNote,requiresUniqueEquipment,row,column
main,메인해역,벽청년 이상,B+,버퍼 / 디버퍼,클래런스 K 브론슨,718,SR,유니온,구축,"공습선도, 대잠",False,23,40
main,메인해역,벽청년 이상,B+,버퍼 / 디버퍼,팬시,665,SSR,템페스타,범선,탄약 + 1,False,23,42
main,메인해역,벽청년 이상,B,구축 DD,글로우웜,94,SR,로열,구축,"무난한
3번자리 딜러",False,27,2
main,메인해역,벽청년 이상,B,구축 DD,모리,10,SR,유니온,구축,"무난한
3번자리 딜러",False,27,3
main,메인해역,벽청년 이상,B,구축 DD,스즈츠키,468,SSR,중앵,구축,"무난한
3번자리 딜러",False,27,3
main,메인해역,벽청년 이상,B,구축 DD,Z47,649,SSR,철혈,구축,0.9 유다치,False,27,4
main,메인해역,벽청년 이상,B,구축 DD,아틸리오 레골로,596,SSR,사르데냐,구축,0.9 유다치,False,27,4
main,메인해역,벽청년 이상,B,구축 DD,누비안,630,SSR,로열,구축,0.9 유다치,False,27,5
main,메인해역,벽청년 이상,B,구축 DD,와카츠키,567,SSR,중앵,구축,0.9 유다치,False,27,5
main,메인해역,벽청년 이상,B,구축 DD,르 아르디,701,SSR,아이리스,구축,0.9 유다치,False,27,6
main,메인해역,벽청년 이상,B,구축 DD,푸슌,254,SR,동황,구축,경장 특화,False,27,7
main,메인해역,벽청년 이상,B,구축 DD,창춘,255,SR,동황,구축,경장 특화,False,27,7
main,메인해역,벽청년 이상,B,구축 DD,오그네보이,626,SSR,노스유니온,구축,전열 짤힐,False,27,8
main,메인해역,벽청년 이상,B,구축 DD,찰스 오스본,13,SR,유니온,구축,"기동 / 항속
탱 보조",False,27,10
main,메인해역,벽청년 이상,B,경순 CL,몬트필리어,330,SSR,유니온,경순,3번 자리 딜러,False,27,12
main,메인해역,벽청년 이상,B,경순 CL,미사키,Z064,SSR,DOAX VV,경순,3번 자리 딜러,False,27,12
main,메인해역,벽청년 이상,B,경순 CL,뒤스부르크,671,SSR,철혈,경순,3번 자리 딜러,False,27,13
main,메인해역,벽청년 이상,B,경순 CL,진츠(META),M025,SSR,META,경순,3번 자리 딜러,False,27,13
main,메인해역,벽청년 이상,B,경순 CL,마르세예즈,598,SSR,비시아,경순,버퍼 겸 3번 자리 딜러,False,27,14
main,메인해역,벽청년 이상,B,경순 CL,기샹,603,SSR,아이리스,경순,버퍼 겸 3번 자리 딜러,False,27,15
main,메인해역,벽청년 이상,B,경순 CL,두카 델리 아브루치,501,SSR,사르데냐,경순,뇌격특화 경순,False,27,16
main,메인해역,벽청년 이상,B,경순 CL,벨파스트,115,SSR,로열,경순,뇌격특화 경순,False,27,16
main,메인해역,벽청년 이상,B,경순 CL,주세페 가리발디,559,SSR,사르데냐,경순,뇌격특화 경순,False,27,17
main,메인해역,벽청년 이상,B,경순 CL,클레오파트라,690,SSR,로열,경순,뇌격특화 경순,False,27,17
main,메인해역,벽청년 이상,B,경순 CL,다이도(µ장비),476,SSR,로열,경순,3번 자리 대공맨,False,27,18
main,메인해역,벽청년 이상,B,경순 CL,다이도,107,SSR,로열,경순,3번 자리 대공맨,False,27,18
main,메인해역,벽청년 이상,B,경순 CL,리노,445,SSR,유니온,경순,3번 자리 대공맨,False,27,19
main,메인해역,벽청년 이상,B,경순 CL,시애틀,P007,SSR,유니온,경순,3번 자리 대공맨,False,27,19
main,메인해역,벽청년 이상,B,경순 CL,노시로(µ장비),635,SSR,중앵,경순,"3번 자리 딜러
뇌격 버프",False,27,20
main,메인해역,벽청년 이상,B,경순 CL,보로실로프,588,SSR,노스유니온,경순,"포격 버프
탱 경순",False,27,22
main,메인해역,벽청년 이상,B,중순 / 대순 CA,탈린,496,SSR,노스유니온,중순,"차선급 대체 탱커 라인업
(왼쪽에 있을수록 우선순위 높음)",False,27,24
main,메인해역,벽청년 이상,B,중순 / 대순 CA,치쿠마,195,SSR,중앵,중순,"차선급 대체 탱커 라인업
(왼쪽에 있을수록 우선순위 높음)",False,27,25
main,메인해역,벽청년 이상,B,중순 / 대순 CA,프린츠 아달베르트,527,SSR,철혈,중순,"차선급 대체 탱커 라인업
(왼쪽에 있을수록 우선순위 높음)",False,27,26
main,메인해역,벽청년 이상,B,중순 / 대순 CA,프린츠 하인리히,483,SSR,철혈,중순,"차선급 대체 탱커 라인업
(왼쪽에 있을수록 우선순위 높음)",False,27,27
main,메인해역,벽청년 이상,B,중순 / 대순 CA,뉴올리언스,521,SSR,유니온,중순,"차선급 대체 탱커 라인업
(왼쪽에 있을수록 우선순위 높음)",False,27,28
main,메인해역,벽청년 이상,B,중순 / 대순 CA,포틀랜드,44,R,유니온,중순,"차선급 대체 탱커 라인업
(왼쪽에 있을수록 우선순위 높음)",False,27,29
main,메인해역,벽청년 이상,B,중순 / 대순 CA,카스미 (콜라보),Z063,SSR,DOAX VV,중순,"차선급 대체 탱커 라인업
(왼쪽에 있을수록 우선순위 높음)",False,27,30
main,메인해역,벽청년 이상,B,중순 / 대순 CA,공주,Z089,SSR,그리드맨,운송,"차선급 대체 탱커 라인업
(왼쪽에 있을수록 우선순위 높음)",False,27,30
main,메인해역,벽청년 이상,B,중순 / 대순 CA,꼬마 프린츠 오이겐,549,SR,철혈,중순,"차선급 대체 탱커 라인업
(왼쪽에 있을수록 우선순위 높음)",False,27,31
main,메인해역,벽청년 이상,B,중순 / 대순 CA,이카루가,Z102,SSR,섬란 카구라,중순,3번 자리 딜러,False,27,32
main,메인해역,벽청년 이상,B,중순 / 대순 CA,고리치아,597,SSR,사르데냐,중순,3번 자리 딜러,False,27,33
main,메인해역,벽청년 이상,B,중순 / 대순 CA,초카이,203,SSR,중앵,중순,3번 자리 딜러,False,27,33
main,메인해역,벽청년 이상,B,중순 / 대순 CA,론(µ장비),479,SSR,철혈,중순,3번 자리 딜러,False,27,34
main,메인해역,벽청년 이상,B,중순 / 대순 CA,아타고,201,SSR,중앵,중순,3번 자리 딜러,False,27,34
main,메인해역,벽청년 이상,B,중순 / 대순 CA,프린츠 오이겐(µ장비),634,SSR,철혈,중순,3번 자리 딜러,False,27,35
main,메인해역,벽청년 이상,B,버퍼 / 디버퍼,시리우스,371,SSR,로열,경순,"항모 버퍼
죽어도 버프유지",False,27,36
main,메인해역,벽청년 이상,B,버퍼 / 디버퍼,오로라,118,SR,로열,경순,경장 상대버퍼,False,27,38
main,메인해역,벽청년 이상,B,버퍼 / 디버퍼,벨로나,551,SR,로열,경순,공습 선도,False,27,40
main,메인해역,벽청년 이상,B,버퍼 / 디버퍼,스테판 포터,509,SR,유니온,구축,공습 선도,False,27,41
main,메인해역,벽청년 이상,B,버퍼 / 디버퍼,골든 하인드,610,SSR,템페스타,범선,탄약 + 1,False,27,42
main,메인해역,벽청년 이상,SS,메인 힐러,유니콘,142,SR,로열,경항모,"쫄팟, 광역힐
선장전",False,34,2
main,메인해역,벽청년 이상,SS,서브 힐러,즈이호,221,SSR,중앵,경항모,신세대의 힐러,False,34,4
main,메인해역,벽청년 이상,SS,"항모 CV, 경항모 CVL",아퀼라,502,SSR,사르데냐,항모,"쫄 보스 딜러
서브 힐러",False,34,8
main,메인해역,벽청년 이상,SS,"전함 BB, 순전 BC",무사시,217,UR,중앵,전함,"후열 보호
아퀼라와 시너지",False,34,22
main,메인해역,벽청년 이상,SS,"전함 BB, 순전 BC",라파엘로,678,UR,사르데냐,전함,"스마트 힐
실드",False,34,26
main,메인해역,벽청년 이상,SS,"전함 BB, 순전 BC",비스마르크 Zwei,593,UR,철혈,전함,"탄약 오링 완화
소환",False,34,30
main,메인해역,벽청년 이상,SS,"전함 BB, 순전 BC",라이온,138,UR,로열,전함,"높은 공격력
+ 강력한 범위딜",False,34,34
main,메인해역,벽청년 이상,SS,잠수 SS,이404,705,UR,중앵,잠항모,최강 잠수함,False,34,38
main,메인해역,벽청년 이상,S,메인 힐러,클라우디아 발렌츠,Z092,SSR,라이자,경항모,"쫄팟 힐러
기믹 실드+힐",False,38,2
main,메인해역,벽청년 이상,S,서브 힐러,카우펜스,716,SSR,유니온,경항모,"높은 공격력
딸피 스마트 힐",False,38,4
main,메인해역,벽청년 이상,S,"항모 CV, 경항모 CVL",렉싱턴Ⅱ,715,UR,유니온,항모,높은 제공권/생존력,False,38,6
main,메인해역,벽청년 이상,S,"항모 CV, 경항모 CVL",인디펜던스,377,SR,유니온,경항모,"제공권 + 반장전
타함대 항공버프",False,38,8
main,메인해역,벽청년 이상,S,"전함 BB, 순전 BC",프리드리히 데어 그로세,P011,UR,철혈,전함,쫄 보스 둘다 잘함,False,38,20
main,메인해역,벽청년 이상,S,"전함 BB, 순전 BC",뉴저지,68,UR,유니온,전함,"보스전 특화
강한 대공",False,38,22
main,메인해역,벽청년 이상,S,"전함 BB, 순전 BC",알자스,641,UR,아이리스,전함,"수동시 SS
선장전",False,38,24
main,메인해역,벽청년 이상,S,"전함 BB, 순전 BC",메클렌부르크,P039,UR,철혈,전함,높은 공격력,False,38,26
main,메인해역,벽청년 이상,S,잠수 SS,플래셔,620,SSR,유니온,잠수,"미잠
높은 산소량",False,38,36
main,메인해역,벽청년 이상,S,잠수 SS,알바코어,358,SSR,유니온,잠수,"미잠
높은 산소량",False,38,36
main,메인해역,벽청년 이상,S,잠수 SS,아처피시,513,SSR,유니온,잠수,"미잠
높은 산소량",False,38,37
main,메인해역,벽청년 이상,S,잠수 SS,카발라,402,SSR,유니온,잠수,"미잠
높은 산소량",False,38,37
main,메인해역,벽청년 이상,A+,메인 힐러,퍼시어스,462,SSR,로열,경항모,"이중 선장전
타함대 힐",False,42,2
main,메인해역,벽청년 이상,A+,서브 힐러,볼가,538,SSR,노스유니온,항모,대체 서브힐러,False,42,4
main,메인해역,벽청년 이상,A+,서브 힐러,류호,426,SSR,중앵,경항모,대체 서브힐러,False,42,5
main,메인해역,벽청년 이상,A+,"항모 CV, 경항모 CVL",요크타운Ⅱ,574,UR,유니온,항모,2 전투기 + 제공권,False,42,6
main,메인해역,벽청년 이상,A+,"항모 CV, 경항모 CVL",임플래커블,581,UR,로열,항모,2 전투기 + 제공권,False,42,8
main,메인해역,벽청년 이상,A+,"항모 CV, 경항모 CVL",아드미랄 나히모프,P036,UR,노스유니온,항모,제공권 GOAT,False,42,10
main,메인해역,벽청년 이상,A+,"항모 CV, 경항모 CVL",프리츠 루메이,669,UR,철혈,항모,"전투기 8대
특수 부포 + 대공",False,42,12
main,메인해역,벽청년 이상,A+,"항모 CV, 경항모 CVL",에식스,357,SSR,유니온,항모,"항공피해감소 /
타함대 지원",False,42,14
main,메인해역,벽청년 이상,A+,"전함 BB, 순전 BC",소비에츠키 소유즈,438,UR,노스유니온,전함,"광역딜, 좋은 탄막
후열 딜 보충",False,42,20
main,메인해역,벽청년 이상,A+,"전함 BB, 순전 BC",키어사지,P028,UR,유니온,항전,"아군 딜 증가
보스 팟 특화",False,42,22
main,메인해역,벽청년 이상,A+,"전함 BB, 순전 BC",울리히 폰 후텐,529,UR,철혈,전함,쫄 보스 둘다 잘함,False,42,24
main,메인해역,벽청년 이상,A+,"전함 BB, 순전 BC",뱅가드,137,UR,로열,전함,전함 최강 버퍼,False,42,26
main,메인해역,벽청년 이상,A+,"전함 BB, 순전 BC",타마키,Z069,SSR,DOAX VV,순전,쫄 보스 둘 다 잘함,False,42,30
main,메인해역,벽청년 이상,A+,"전함 BB, 순전 BC",안드레아 도리아(META),M044,SSR,META,전함,"근접 방어
전열 생존 보조",False,42,32
main,메인해역,벽청년 이상,A+,잠수 SS,U-81,341,SSR,철혈,잠수,"독잠
상위 U 보트들",False,42,36
main,메인해역,벽청년 이상,A+,잠수 SS,U-96,467,SSR,철혈,잠수,"독잠
상위 U 보트들",False,42,36
main,메인해역,벽청년 이상,A+,잠수 SS,U-37,484,SSR,철혈,잠수,"독잠
상위 U 보트들",False,42,37
main,메인해역,벽청년 이상,A+,잠수 SS,U-47,343,SSR,철혈,잠수,"독잠
상위 U 보트들",False,42,37
main,메인해역,벽청년 이상,A+,잠수 SS,U-556(META),M021,SSR,META,잠수,원거리 지원,False,42,38
main,메인해역,벽청년 이상,A+,잠수 SS,레오나르도 다 빈치,558,SSR,사르데냐,잠수,원거리 지원,False,42,39
main,메인해역,벽청년 이상,A,메인 힐러,일러스트리어스,145,SSR,로열,항모,대체 메인힐러,False,46,2
main,메인해역,벽청년 이상,A,메인 힐러,쇼호,222,R,중앵,경항모,대체 메인힐러,False,46,3
main,메인해역,벽청년 이상,A,서브 힐러,팽르베,599,SSR,아이리스,항모,대체 서브힐러,False,46,4
main,메인해역,벽청년 이상,A,"항모 CV, 경항모 CVL",시나노,231,UR,중앵,항모,"높은 DPS
일항팟",False,46,6
main,메인해역,벽청년 이상,A,"항모 CV, 경항모 CVL",하쿠호,703,UR,중앵,항모,"높은 DPS
일항팟",False,46,7
main,메인해역,벽청년 이상,A,"항모 CV, 경항모 CVL",하쿠류,P019,UR,중앵,항모,"높은 DPS
일항팟",False,46,7
main,메인해역,벽청년 이상,A,"항모 CV, 경항모 CVL",토비이치 오리가미,Z152,SSR,데어라,항모,"3 장갑 다 잘팸
높은 탱킹력",False,46,8
main,메인해역,벽청년 이상,A,"항모 CV, 경항모 CVL",DEAD MASTER,Z122,SSR,블랙 록 슈터,항모,"3 장갑 다 잘팸
높은 탱킹력",False,46,9
main,메인해역,벽청년 이상,A,"항모 CV, 경항모 CVL",프랭클린,682,SSR,유니온,항모,"안정성 높은
엔터프라이즈 +",False,46,10
main,메인해역,벽청년 이상,A,"항모 CV, 경항모 CVL",엔터프라이즈,77,SSR,유니온,항모,"안정성 높은
엔터프라이즈 +",False,46,10
main,메인해역,벽청년 이상,A,"항모 CV, 경항모 CVL",샹그릴라,378,SSR,유니온,항모,"안정성 높은
엔터프라이즈 +",False,46,11
main,메인해역,벽청년 이상,A,"항모 CV, 경항모 CVL",글로리어스(META),M048,SSR,META,항모,단기전 특화,False,46,12
main,메인해역,벽청년 이상,A,"항모 CV, 경항모 CVL",요크타운(META),M054,SSR,META,항모,"대경장
보조 유틸",False,46,14
main,메인해역,벽청년 이상,A,"항모 CV, 경항모 CVL",아마기(항모),660,UR,중앵,항모,"강한 딜
보조 유틸",False,46,16
main,메인해역,벽청년 이상,A,"항모 CV, 경항모 CVL",키사라기 치하야,Z072,SSR,아이마스,항모,반장전,False,46,18
main,메인해역,벽청년 이상,A,"전함 BB, 순전 BC",로드니(META),M031,SSR,META,전함,탄막 우수 전함,False,46,20
main,메인해역,벽청년 이상,A,"전함 BB, 순전 BC",다이센,P034,SSR,중앵,전함,탄막 우수 전함,False,46,20
main,메인해역,벽청년 이상,A,"전함 BB, 순전 BC",이즈모,P004,SSR,중앵,전함,탄막 우수 전함,True,46,21
main,메인해역,벽청년 이상,A,"전함 BB, 순전 BC",니나 프리드,Z133,SSR,라이자,전함,탄막 우수 전함,False,46,21
