source,name,row,column,reason
operation-siren,연막탄 탱킹 보조,20,40,not matched
operation-siren,2초 바인드,22,27,not matched
operation-siren,유다치 META,23,4,not matched
operation-siren,쿠니베르티,23,8,not matched
operation-siren,클리블랜드 META,23,34,not matched
operation-siren,레겐스부르크 META,23,35,not matched
operation-siren,3번 자리 딜러,24,4,not matched
operation-siren,3번 자리 뇌장딜러,24,6,not matched
operation-siren,3번 자리 딜러,24,18,not matched
operation-siren,준최상급 딜러,24,20,not matched
operation-siren,대경장 딜탱,24,32,not matched
operation-siren,대경장 딜러,24,34,not matched
operation-siren,약간의 보조,24,35,not matched
operation-siren,준수한 탱커 겸 딜러,24,46,not matched
operation-siren,나나 (콜라보),27,4,not matched
operation-siren,타슈켄트 μ,27,12,not matched
operation-siren,히퍼 (전장),27,50,not matched
operation-siren,보급형 공습 선도,28,16,not matched
operation-siren,독일 포격 버프,28,18,not matched
operation-siren,개전 공격 및 지원,28,20,not matched
operation-siren,로열 시너지 필요함,28,22,not matched
operation-siren,탱커 보조,28,28,not matched
operation-siren,탱커,28,36,not matched
operation-siren,동황 드레이크,28,40,not matched
operation-siren,실드,30,45,not matched
operation-siren,파먀티 META,31,26,not matched
operation-siren,공습 선도 (쩌리),32,10,not matched
operation-siren,프랑스 보조,32,18,not matched
operation-siren,조명탄 지원,32,32,not matched
operation-siren,유리 대포,32,38,not matched
operation-siren,조명탄 보조,32,42,not matched
operation-siren,약간씩 유틸을 얹은 탱커라인,32,44,not matched
operation-siren,쫄팟 후보,32,50,not matched
operation-siren,30초 실드,34,43,not matched
operation-siren,18초 실드,34,44,not matched
operation-siren,주세페 가라발디,35,28,not matched
operation-siren,진츠 META,35,30,not matched
operation-siren,론 μ,35,38,not matched
operation-siren,오이겐 μ,35,48,not matched
operation-siren,소량의 탱킹 지원,36,8,not matched
operation-siren,특수 장갑관통,36,18,not matched
operation-siren,3번 자리 딜러,36,20,not matched
operation-siren,뇌장 보조,36,30,not matched
operation-siren,연막탄 보조,36,36,not matched
operation-siren,딜링 보조,36,38,not matched
operation-siren,개전 어뢰,36,40,not matched
operation-siren,핫산 원본,38,2,not matched
operation-siren,모든 장갑 코어픽,43,24,not matched
operation-siren,모든 장갑 깡패픽,43,26,not matched
operation-siren,렉싱턴2,46,16,not matched
operation-siren,대중장 깡패,47,24,not matched
operation-siren,일단 이 2명을 넣어,48,52,not matched
operation-siren,나히모프,50,18,not matched
operation-siren,블랙홀 바인드,51,24,not matched
operation-siren,근거리 방어,53,34,not matched
operation-siren,속사,53,35,not matched
operation-siren,경장,53,40,not matched
operation-siren,글로리어스 META,54,22,not matched
operation-siren,보스팟 딜러,55,8,not matched
operation-siren,Lucky E,55,12,not matched
operation-siren,중장갑 특화,55,14,not matched
operation-siren,단기전의 신,55,22,not matched
operation-siren,단일 적 특화,55,32,not matched
operation-siren,최강 금딱라인,55,40,not matched
operation-siren,중형,57,14,not matched
operation-siren,경장,57,15,not matched
operation-siren,올라운더,57,20,not matched
operation-siren,4공습,57,21,not matched
operation-siren,요크타운 META,58,15,not matched
operation-siren,U-556 META,58,48,not matched
operation-siren,특정 장갑 특화,59,14,not matched
operation-siren,중형 잘팸,59,18,not matched
operation-siren,3 장갑 다 잘팸,59,22,not matched
operation-siren,사르데냐 코어,59,30,not matched
operation-siren,중형 특화,59,34,not matched
operation-siren,경장 특화,59,36,not matched
operation-siren,엘베 META,62,6,not matched
operation-siren,소류 META,62,14,not matched
operation-siren,호넷 META,62,16,not matched
operation-siren,유미아 (콜라보),62,22,not matched
operation-siren,히에이 META,62,44,not matched
operation-siren,리나운 META,62,46,not matched
operation-siren,폭격 특화,63,14,not matched
operation-siren,경장만 잘팸,63,30,not matched
operation-siren,경장만 잘팸,63,32,not matched
operation-siren,3장갑 다 잘팸,63,34,not matched
operation-siren,특수 부포,63,38,not matched
operation-siren,20초 파갑,63,46,not matched
operation-siren,감속,65,24,not matched
operation-siren,파갑,65,25,not matched
operation-siren,베아른 META,66,2,not matched
operation-siren,애리조나 META,66,4,not matched
operation-siren,샤른호르스트 META,66,25,not matched
operation-siren,나가토 META,66,40,not matched
operation-siren,로드니 META,66,41,not matched
operation-siren,스택형 딜러,67,26,not matched
operation-siren,약속의 빅 세븐 개장,67,28,not matched
operation-siren,경장 상대로만 쓸것,67,32,not matched
operation-siren,경장 상대로만 쓸것,67,34,not matched
operation-siren,3장갑 다 잘팸,67,40,not matched
operation-siren,히류 META,70,16,not matched
operation-siren,강구트 META,70,44,not matched
operation-siren,3일본 방어 버프,71,12,not matched
operation-siren,뇌격 특화,71,16,not matched
operation-siren,바인더 대체,71,20,not matched
operation-siren,소량 힐,71,24,not matched
operation-siren,각종 유틸,71,26,not matched
operation-siren,프랑스 조합 필요,71,28,not matched
operation-siren,이글 유니온 시너지,71,30,not matched
operation-siren,3장갑 다 잘팸,71,34,not matched
operation-siren,중장만 잘팸,71,40,not matched
operation-siren,아카기 μ,74,12,not matched
operation-siren,폭격 특화,75,8,not matched
operation-siren,소량 힐,75,14,not matched
operation-siren,감속 제공,75,26,not matched
operation-siren,장전 버프,75,28,not matched
operation-siren,세이렌 특화,75,30,not matched
operation-siren,사르데냐 대체제,75,32,not matched
operation-siren,무사시 독점,75,40,not matched
operation-siren,작은 육각형 딜러,75,44,not matched
operation-siren,업데이트 안됨,80,2,not matched
operation-siren,업데이트 안됨,80,6,not matched
operation-siren,업데이트 안됨,80,24,not matched
operation-siren,업데이트 안됨,80,48,not matched
operation-siren,미항팟,86,6,not matched
operation-siren,일항팟,86,10,not matched
operation-siren,독일 (철혈) 소속,86,26,not matched
operation-siren,딜과 바인더 다함,90,18,not matched
operation-siren,블랙홀 바인드,90,28,not matched
operation-siren,보스팟 딜러,94,12,not matched
operation-siren,최상위 바인더,94,22,not matched
operation-siren,글로리어스 META,97,18,not matched
operation-siren,Lucky E,98,6,not matched
operation-siren,중장갑 특화,98,8,not matched
operation-siren,단기전의 신,98,18,not matched
operation-siren,단일 적 특화,98,24,not matched
operation-siren,대경장 특화,98,26,not matched
operation-siren,경장 특화,98,38,not matched
operation-siren,이404의 최고 조합들,98,48,not matched
operation-siren,올라운더,100,20,not matched
operation-siren,4공습,100,21,not matched
operation-siren,3 장갑 다 잘팸,102,22,not matched
operation-siren,사르데냐 코어,102,30,not matched
operation-siren,중형 특화,102,32,not matched
operation-siren,경장 특화,102,38,not matched
operation-siren,소류 META,105,14,not matched
operation-siren,호넷 META,105,16,not matched
operation-siren,유미아 (콜라보),105,22,not matched
operation-siren,히에이 META,105,44,not matched
operation-siren,리나운 META,105,46,not matched
operation-siren,폭격 특화,106,14,not matched
operation-siren,경장만 잘팸,106,26,not matched
operation-siren,특수 부포,106,28,not matched
operation-siren,경장만 잘팸,106,34,not matched
operation-siren,3장갑 다 잘팸,106,36,not matched
operation-siren,20초 파갑,106,46,not matched
operation-siren,베아른 META,109,2,not matched
operation-siren,애리조나 META,109,4,not matched
operation-siren,나가토 META,109,42,not matched
operation-siren,로드니 META,109,43,not matched
operation-siren,샤른호르스트 META,109,46,not matched
operation-siren,약속의 빅 세븐 개장,110,24,not matched
operation-siren,경장 상대로만 쓸것,110,30,not matched
operation-siren,경장 상대로만 쓸것,110,32,not matched
operation-siren,스택형 딜러,110,34,not matched
operation-siren,프랑스 조합 필요,110,36,not matched
operation-siren,3장갑 다 잘팸,110,42,not matched
operation-siren,북련 조합 필요,110,44,not matched
operation-siren,파갑,110,46,not matched
operation-siren,히류 META,113,14,not matched
operation-siren,3일본 방어 버프,114,10,not matched
operation-siren,뇌격 특화,114,14,not matched
operation-siren,바인더 대체,114,18,not matched
operation-siren,소량 힐,114,24,not matched
operation-siren,각종 유틸,114,26,not matched
operation-siren,이글 유니온 시너지,114,30,not matched
operation-siren,3장갑 다 잘팸,114,34,not matched
operation-siren,프랑스 조합 필요,114,36,not matched
operation-siren,중장만 잘팸,114,42,not matched
operation-siren,아카기 μ,117,10,not matched
operation-siren,폭격 특화,118,6,not matched
operation-siren,소량 힐,118,12,not matched
operation-siren,감속 제공,118,24,not matched
operation-siren,장전 버프,118,26,not matched
operation-siren,세이렌 특화,118,28,not matched
operation-siren,사르데냐 대체제,118,30,not matched
operation-siren,무사시 독점,118,42,not matched
operation-siren,작은 육각형 딜러,118,46,not matched
newbie,철혈 점수 특공대,16,10,not matched
newbie,다이도 μ,19,13,not matched
newbie,소류 META,19,32,not matched
newbie,히류 META,19,33,not matched
newbie,뉴비에겐 권장되진 않음,20,44,not matched
newbie,타슈켄트 μ,23,6,not matched
newbie,아카기 μ,23,30,not matched
newbie,U보트 대체제,24,50,not matched
newbie,미잠 대체제,24,52,not matched
newbie,적당한 탱,26,2,not matched
newbie,대공,26,3,not matched
newbie,르 말랭 μ,27,4,not matched
newbie,볼티모어 μ,27,20,not matched
newbie,클리블랜드 μ,31,14,not matched
newbie,론 μ,31,22,not matched
newbie,다이호 μ,31,30,not matched
newbie,일러스트리어스 μ,31,32,not matched
newbie,아크 로열 META,31,34,not matched
newbie,작은 육각형,32,20,not matched
newbie,감속요원,32,24,not matched
newbie,노스 유니온 조합 필요,32,38,not matched
